CAT,PRICE,value,date
Αρνιά,ΚΑΤΩΤΕΡΗ,7,2023-11-15
Αρνιά,ΑΝΩΤΕΡΗ,9,2023-11-15
Αρνιά,ΕΠΙΚΡΑΤΟΥΣΑ,8.5,2023-11-15
Αρνια Ρουμανιας,ΚΑΤΩΤΕΡΗ,8,2023-11-15
Αρνια Ρουμανιας,ΑΝΩΤΕΡΗ,8.6,2023-11-15
Αρνια Ρουμανιας,ΕΠΙΚΡΑΤΟΥΣΑ,8.3,2023-11-15
Κατσίκια,ΚΑΤΩΤΕΡΗ,7,2023-11-15
Κατσίκια,ΑΝΩΤΕΡΗ,9,2023-11-15
Κατσίκια,ΕΠΙΚΡΑΤΟΥΣΑ,8.5,2023-11-15
Γιδοπρόβατα,ΚΑΤΩΤΕΡΗ,3,2023-11-15
Γιδοπρόβατα,ΑΝΩΤΕΡΗ,6,2023-11-15
Γιδοπρόβατα,ΕΠΙΚΡΑΤΟΥΣΑ,5.5,2023-11-15
Χοιρινά εγχώρια μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,3.5,2023-11-15
Χοιρινά εγχώρια μαδητά μισάδια,ΑΝΩΤΕΡΗ,3.7,2023-11-15
Χοιρινά εγχώρια μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.55,2023-11-15
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3.8,2023-11-15
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,4,2023-11-15
Χοιρινά εγχώρια τ. καρρέ μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.85,2023-11-15
Χοιρινά εξωτερικού μαδητά μισάδια,ΚΑΤΩΤΕΡΗ,3,2023-11-15
Χοιρινά εξωτερικού μαδητά μισάδια,ΑΝΩΤΕΡΗ,3.4,2023-11-15
Χοιρινά εξωτερικού μαδητά μισάδια,ΕΠΙΚΡΑΤΟΥΣΑ,3.1,2023-11-15
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΚΑΤΩΤΕΡΗ,3.3,2023-11-15
Χοιρινα εξωτερικού τ. καρρέ μισάδια,ΑΝΩΤΕΡΗ,3.7,2023-11-15
